whoscored,fbref
Liverpool,Liverpool
Manchester City,Manchester City
Leicester,Leicester City
Chelsea,Chelsea
Tottenham,Tottenham
Sheffield United,Sheffield Utd
Manchester United,Manchester Utd
Wolverhampton Wanderers,Wolves
Everton,Everton
Arsenal,Arsenal
Burnley,Burnley
Newcastle United,Newcastle Utd
Southampton,Southampton
Crystal Palace,Crystal Palace
Brighton,Brighton
Bournemouth,Bournemouth
Aston Villa,Aston Villa
West Ham,West Ham
Watford,Watford
Norwich,Norwich City
Cardiff,Cardiff City
Fulham,Fulham
Huddersfield,Huddersfield
Leeds,Leeds United
West Bromwich Albion,West Brom
Brentford,Brentford
Real Madrid,Real Madrid
Barcelona,Barcelona
Getafe,Getafe
Sevilla,Sevilla
Valencia,Valencia
Atletico Madrid,Atlético Madrid
Villarreal,Villarreal
Real Sociedad,Real Sociedad
Athletic Bilbao,Athletic Club
Granada,Granada
Osasuna,Osasuna
Real Betis,Betis
Levante,Levante
Real Valladolid,Valladolid
Deportivo Alaves,Alavés
Eibar,Eibar
Mallorca,Mallorca
Leganes,Leganés
Celta Vigo,Celta Vigo
Espanyol,Espanyol
Girona,Girona
SD Huesca,Huesca
Rayo Vallecano,Rayo Vallecano
Cadiz,Cádiz
Elche,Elche
Juventus,Juventus
Inter,Inter
Lazio,Lazio
Atalanta,Atalanta
Roma,Roma
AC Milan,Milan
Cagliari,Cagliari
Parma Calcio 1913,Parma
Bologna,Bologna
Napoli,Napoli
Verona,Hellas Verona
Torino,Torino
Sassuolo,Sassuolo
Fiorentina,Fiorentina
Udinese,Udinese
Sampdoria,Sampdoria
Lecce,Lecce
Genoa,Genoa
Brescia,Brescia
SPAL 2013,SPAL
Empoli,Empoli
Frosinone,Frosinone
Chievo,Chievo
Benevento,Benevento
Crotone,Crotone
Spezia,Spezia
Salernitana,Salernitana
Venezia,Venezia
Bayern Munich,Bayern Munich
RB Leipzig,RB Leipzig
Borussia Dortmund,Dortmund
Borussia M'Gladbach,M'Gladbach
Bayer Leverkusen,Leverkusen
Schalke 04,Schalke 04
Hoffenheim,Hoffenheim
Freiburg,Freiburg
Wolfsburg,Wolfsburg
Augsburg,Augsburg
Eintracht Frankfurt,Eint Frankfurt
Union Berlin,Union Berlin
Hertha Berlin,Hertha BSC
FC Koln,Köln
Mainz 05,Mainz 05
Werder Bremen,Werder Bremen
Fortuna Duesseldorf,Düsseldorf
Paderborn,Paderborn 07
VfB Stuttgart,Stuttgart
Hannover 96,Hannover 96
Nuernberg,Nürnberg
Arminia Bielefeld,Arminia
Bochum,Bochum
Greuther Fuerth,Greuther Fürth
Paris Saint-Germain,Paris S-G
Marseille,Marseille
Rennes,Rennes
Lille,Lille
Montpellier,Montpellier
Lyon,Lyon
Reims,Reims
Nice,Nice
Nantes,Nantes
Bordeaux,Bordeaux
Strasbourg,Strasbourg
Angers,Angers
Monaco,Monaco
Brest,Brest
Saint-Etienne,Saint-Étienne
Metz,Metz
Dijon,Dijon
Amiens,Amiens
Nimes,Nîmes
Toulouse,Toulouse
Caen,Caen
Guingamp,Guingamp
Lorient,Lorient
Lens,Lens
Troyes,Troyes
Clermont Foot,Clermont Foot
Ajax,Ajax
Salzburg,RB Salzburg
Zenit St' Petersburg,Zenit
Benfica,Benfica
Dinamo Zagreb,Dinamo Zagreb
Olympiacos,Olympiacos
Lokomotiv Moscow,Loko Moscow
Shakhtar Donetsk,Shakhtar
Slavia Prague,Slavia Prague
Genk,Genk
Club Brugge,Club Brugge
Galatasaray,Galatasaray
FK Crvena Zvezda,Red Star
FC Porto,Porto
CSKA Moscow,CSKA Moscow
PSV Eindhoven,PSV Eindhoven
Viktoria Plzen,Viktoria Plzeň
FC Basel 1893,Basel
FC Midtjylland,Midtjylland
AEK Athens,AEK Athens
Braga,Braga
AZ Alkmaar,AZ Alkmaar
Sporting CP,Sporting CP
LASK,LASK
Rangers,Rangers
Istanbul Basaksehir,Başakşehir
Celtic,Celtic
Gent,Gent
Ludogorets Razgrad,Ludogorets
APOEL Nicosia,APOEL
Slovan Bratislava,Slovan Bratislava
Partizan Belgrade,Partizan
FC Copenhagen,FC Copenhagen
Malmoe FF,Malmö
Standard Liege,Standard Liège
F91 Dudelange,F91 Dudelange
BSC Young Boys,Young Boys
Qarabag FK,Qarabağ Ağdam
Vitoria de Guimaraes,Vitória
Feyenoord,Feyenoord
Dynamo Kyiv,Dynamo Kyiv
Wolfsberger AC,Wolfsberger AC
CFR Cluj,CFR Cluj
FC Krasnodar,Krasnodar
Besiktas,Beşiktaş
FC Olexandriya,FC Oleksandriya
Ferencvaros,Ferencváros
FC Astana,Astana FK
Trabzonspor,Trabzonspor
Rosenborg,Rosenborg
FC Lugano,Lugano
BATE Borisov,BATE Borisov
Apollon Limassol,Apollon
Fenerbahce,Fenerbahçe
FC Zuerich,Zürich
Spartak Moscow,Spartak Moscow
Sarpsborg 08,Sarpsborg 08
Rapid Wien,Rapid Wien
Jablonec,Jablonec
AEK Larnaca,AÉK Lárnaka
PAOK Thessaloniki FC,PAOK
Fehervar FC,Vidi
Spartak Trnava,Spartak Trnava
Vorskla,Vorskla Poltava
Akhisarspor,Akhisarspor
Anderlecht,Anderlecht
Royal Antwerp,Antwerp
Molde,Molde
Maccabi Tel Aviv,Maccabi Tel Aviv
Hapoel Beer Sheva,Be'er Sheva
PFC CSKA-Sofia,CSKA Sofia
Omonia Nicosia,AC Omonia
Sivasspor,Sivasspor
Lech Poznan,Lech Poznań
Rijeka,Rijeka
Slovan Liberec,Slovan Liberec
Dundalk,Dundalk
Zorya,Zorya Luhansk
Sparta Prague,Sparta Prague
Brondby IF,Brøndby
Legia Warszawa,Legia Warsaw
FC Sheriff,Sheriff Tiraspol
Sturm Graz,Sturm Graz